source,sphere,scenario,year,ktne
Вугілля,сільське господарство,Базовий,2040,19.0
Вугілля,сільське господарство,Базовий,2045,20.0
Вугілля,сільське господарство,Базовий,2050,20.0
Електроенергія,сільське господарство,Базовий,2012,312.0
Електроенергія,сільське господарство,Базовий,2015,289.0
Електроенергія,сільське господарство,Базовий,2020,343.0
Електроенергія,сільське господарство,Базовий,2025,377.0
Електроенергія,сільське господарство,Базовий,2030,406.0
Електроенергія,сільське господарство,Базовий,2035,430.0
Електроенергія,сільське господарство,Базовий,2040,448.0
Електроенергія,сільське господарство,Базовий,2045,461.0
Електроенергія,сільське господарство,Базовий,2050,472.0
Газ,сільське господарство,Базовий,2012,153.0
Газ,сільське господарство,Базовий,2015,129.0
Газ,сільське господарство,Базовий,2020,125.0
Газ,сільське господарство,Базовий,2025,138.0
Газ,сільське господарство,Базовий,2030,149.0
Газ,сільське господарство,Базовий,2035,158.0
Газ,сільське господарство,Базовий,2040,166.0
Газ,сільське господарство,Базовий,2045,171.0
Газ,сільське господарство,Базовий,2050,176.0
Теплова енергія,сільське господарство,Базовий,2012,312.0
Теплова енергія,сільське господарство,Базовий,2015,211.0
Теплова енергія,сільське господарство,Базовий,2020,327.0
Теплова енергія,сільське господарство,Базовий,2025,358.0
Теплова енергія,сільське господарство,Базовий,2030,388.0
Теплова енергія,сільське господарство,Базовий,2035,413.0
Теплова енергія,сільське господарство,Базовий,2040,433.0
Теплова енергія,сільське господарство,Базовий,2045,449.0
Теплова енергія,сільське господарство,Базовий,2050,463.0
Нафта та нафтопродукти,сільське господарство,Базовий,2012,1364.0
Нафта та нафтопродукти,сільське господарство,Базовий,2015,1302.0
Нафта та нафтопродукти,сільське господарство,Базовий,2020,1408.0
Нафта та нафтопродукти,сільське господарство,Базовий,2025,1562.0
Нафта та нафтопродукти,сільське господарство,Базовий,2030,1700.0
Нафта та нафтопродукти,сільське господарство,Базовий,2035,1844.0
Нафта та нафтопродукти,сільське господарство,Базовий,2040,1956.0
Нафта та нафтопродукти,сільське господарство,Базовий,2045,2046.0
Нафта та нафтопродукти,сільське господарство,Базовий,2050,2121.0
Біопаливо та відходи,промисловість,Ліберальний,2012,46.0
Біопаливо та відходи,промисловість,Ліберальний,2015,86.0
Біопаливо та відходи,промисловість,Ліберальний,2020,52.0
Біопаливо та відходи,промисловість,Ліберальний,2025,73.0
Біопаливо та відходи,промисловість,Ліберальний,2030,94.0
Біопаливо та відходи,промисловість,Ліберальний,2035,123.0
Біопаливо та відходи,промисловість,Ліберальний,2040,153.0
Біопаливо та відходи,промисловість,Ліберальний,2045,184.0
Біопаливо та відходи,промисловість,Ліберальний,2050,211.0
Теплова енергія з ВДЕ,промисловість,Ліберальний,2012,5.0
Теплова енергія з ВДЕ,промисловість,Ліберальний,2015,10.0
